time_s,rms_dbfs,spectral_centroid_hz,onset_strength
9.0027,-19.7619,308.928,1.14056
9.0453,-19.8802,356.597,1.27062
9.0880,-20.0583,379.452,1.51787
9.1307,-20.0976,353.622,1.67385
9.1733,-19.6547,347.961,1.66769
9.2160,-19.8325,380.789,1.71622
9.2587,-19.6569,476.403,1.76279
9.3013,-19.8432,625.790,1.83011
9.3440,-19.5764,708.380,1.90694
9.3867,-19.3335,786.846,1.98481
9.4293,-19.5104,895.760,2.04825
9.4720,-19.5622,1074.141,2.05657
9.5147,-20.2052,1236.632,2.13517
9.5573,-19.9868,1383.105,2.23322
9.6000,-19.8549,1377.498,2.16983
9.6427,-20.0161,1238.877,2.26506
9.6853,-19.8840,1151.307,2.12541
9.7280,-19.6964,1090.871,1.78740
9.7707,-19.7077,1068.102,1.70885
9.8133,-19.7558,993.437,1.73138
9.8560,-20.0390,968.808,1.72937
9.8987,-19.5736,917.171,1.67459
9.9413,-19.4219,1076.959,1.70190
9.9840,-19.5929,1202.220,1.71411
10.0267,-19.5333,1346.712,1.65295
10.0693,-19.7192,1419.978,1.61559
10.1120,-19.4609,1327.499,1.79806
10.1547,-18.9548,1252.151,1.80284
10.1973,-19.3646,1156.979,1.71317
10.2400,-19.1660,1099.317,1.69069
10.2827,-19.1504,1045.423,1.62358
10.3253,-18.7682,1041.776,1.69684
10.3680,-18.6099,995.512,1.77583
10.4107,-18.8998,1033.555,1.86780
10.4533,-18.9441,1129.594,1.77849
10.4960,-19.1787,1276.386,1.77951
10.5387,-19.2369,1418.517,1.88068
10.5813,-19.7828,1396.798,1.90436
10.6240,-19.9655,1214.136,1.96698
10.6667,-19.4207,1117.793,1.94274
10.7093,-19.6776,1054.358,1.90342
10.7520,-19.7442,945.970,1.82507
10.7947,-19.4018,940.067,1.79924
10.8373,-19.9628,863.214,1.87814
10.8800,-19.4387,782.717,1.83955
10.9227,-19.4420,944.608,1.87247
10.9653,-20.2050,1024.885,1.76319
11.0080,-20.0080,1112.484,1.71248
11.0507,-19.5363,1145.016,1.85022
11.0933,-19.9721,1081.931,1.98674
11.1360,-19.9997,972.756,1.99200
11.1787,-19.6430,904.124,1.94198
11.2213,-19.7540,853.254,1.89729
11.2640,-19.9085,717.639,1.86157
11.3067,-19.5763,726.572,1.95435
11.3493,-19.6611,707.706,1.92330
11.3920,-19.3131,723.861,2.02538
11.4347,-19.1405,829.787,1.91983
11.4773,-19.4701,940.126,1.97934
11.5200,-19.9534,1019.781,2.01505
11.5627,-20.0494,1003.569,1.99737
11.6053,-20.0143,948.441,2.06836
11.6480,-19.8402,917.492,2.03909
11.6907,-19.8611,860.396,1.81819
11.7333,-19.8684,807.496,1.75510
11.7760,-19.6305,827.710,1.74707
11.8187,-20.1471,828.104,1.67554
11.8613,-20.2840,847.340,1.64711
11.9040,-20.4763,992.136,1.64794
11.9467,-21.0817,1086.279,1.68592
11.9893,-20.4490,1164.420,1.84188
12.0320,-19.7942,1244.235,1.75633
12.0747,-20.3457,1206.140,1.98343
12.1173,-20.2949,1133.545,1.95710
12.1600,-19.8490,1205.051,1.96887
12.2027,-19.9272,1198.473,2.02475
12.2453,-19.8231,1216.513,2.10343
12.2880,-19.2329,1433.683,2.34182
12.3307,-19.2315,1547.549,2.49583
12.3733,-19.1212,1749.767,2.54770
12.4160,-18.9564,1980.123,2.46966
12.4587,-19.3338,2032.525,2.58052
12.5013,-19.0734,1968.086,2.58713
12.5440,-18.5224,1893.741,2.52600
12.5867,-19.0009,1689.858,2.49028
12.6293,-18.8509,1384.264,2.38359
12.6720,-18.5167,1198.175,2.33717
12.7147,-18.7254,916.302,2.19718
12.7573,-18.6093,753.340,2.11948
12.8000,-18.5075,719.784,2.03686
12.8427,-18.3861,686.992,1.96586
12.8853,-18.4702,722.074,1.90665
12.9280,-19.0144,801.900,1.71235
12.9707,-19.2368,857.891,1.58491
13.0133,-19.5463,872.691,1.58422
13.0560,-19.5875,831.257,1.65195
13.0987,-19.5528,774.783,1.51233
13.1413,-19.3878,755.946,1.50257
13.1840,-19.5234,715.007,1.47693
13.2267,-19.4986,692.401,1.39485
13.2693,-19.5197,680.569,1.40313
13.3120,-19.4505,622.254,1.40348
13.3547,-19.4313,581.241,1.55080
13.3973,-19.4228,604.709,1.47234
13.4400,-19.6109,610.284,1.47389
13.4827,-19.0735,606.737,1.44805
13.5253,-18.7138,581.983,1.36430
13.5680,-19.1660,509.050,1.28517
13.6107,-18.9764,430.557,1.17775
13.6533,-18.8027,398.265,1.15311
13.6960,-19.0033,335.308,1.29016
13.7387,-18.8890,285.659,1.27806
13.7813,-18.8202,240.497,1.25423
13.8240,-18.7593,200.304,1.38882
13.8667,-18.7427,213.944,1.50935
13.9093,-19.2189,224.603,1.47578
13.9520,-19.2258,240.947,1.81276
13.9947,-18.9023,293.101,1.76841
14.0373,-18.7488,312.186,1.88472
14.0800,-18.9746,324.269,1.99244
14.1227,-18.6000,373.691,2.12729
14.1653,-18.6985,416.309,2.24392
14.2080,-18.8805,429.618,2.33047
14.2507,-18.8609,517.114,2.44178
14.2933,-18.8059,573.711,2.42888
14.3360,-18.4741,592.555,2.31192
14.3787,-18.2600,666.795,2.31101
14.4213,-18.6668,732.765,2.44133
14.4640,-18.8661,765.635,2.39836
14.5067,-18.9354,738.383,2.32997
14.5493,-18.8954,695.535,2.40318
14.5920,-18.7981,633.411,2.03738
14.6347,-18.4881,613.929,1.94093
14.6773,-18.2251,593.808,1.91106
14.7200,-18.0552,599.863,1.82666
14.7627,-18.2693,607.052,1.75461
14.8053,-18.3647,604.327,1.74015
14.8480,-18.6020,683.112,1.76233
14.8907,-19.0659,755.011,1.70173
14.9333,-18.8925,800.326,1.71745
14.9760,-18.4320,840.977,1.77934
15.0187,-18.6997,812.477,1.86529
15.0613,-18.8190,736.349,1.77312
15.1040,-18.5939,717.362,1.66389
15.1467,-18.9052,696.738,1.61862
15.1893,-19.2412,641.554,1.54211
15.2320,-18.9896,653.643,1.55653
15.2747,-19.3167,658.800,1.52706
15.3173,-19.1923,640.616,1.62271
15.3600,-19.2567,715.374,1.56121
15.4027,-19.8630,790.591,1.51029
15.4453,-19.6935,827.393,1.49927
15.4880,-19.1448,821.593,1.41240
15.5307,-19.6615,762.498,1.35659
15.5733,-19.6194,669.028,1.33234
15.6160,-19.2870,615.443,1.30934
15.6587,-19.3696,556.646,1.44169
15.7013,-19.4643,467.192,1.42365
15.7440,-19.3223,396.761,1.41176
15.7867,-19.4214,361.033,1.41201
15.8293,-19.3982,423.393,1.63782
15.8720,-19.7720,515.164,1.57242
15.9147,-19.9118,593.804,1.54699
15.9573,-20.0952,636.948,1.55610
16.0000,-20.0170,634.584,1.73313
16.0427,-19.9792,631.213,1.98040
16.0853,-19.8273,628.763,2.13193
16.1280,-19.5456,587.521,2.20722
16.1707,-19.1652,516.676,2.32437
16.2133,-19.0015,496.368,2.35664
16.2560,-18.9079,490.034,2.28274
16.2987,-18.5772,509.499,2.10406
16.3413,-18.4306,622.563,2.11900
16.3840,-19.0281,722.975,2.13316
16.4267,-18.6970,831.827,2.24260
16.4693,-18.1732,890.877,2.09292
16.5120,-18.6892,878.653,2.15274
16.5547,-18.6166,842.517,2.29095
16.5973,-18.5477,871.199,2.16286
16.6400,-18.9558,857.414,2.03874
16.6827,-18.7546,841.475,1.83844
16.7253,-18.8592,882.198,1.63102
16.7680,-19.1124,854.024,1.61008
16.8107,-19.0821,923.977,1.77138
16.8533,-19.3304,1043.596,1.65853
16.8960,-19.4966,1134.347,1.88389
16.9387,-19.2171,1186.074,2.00118
16.9813,-18.8404,1177.015,2.08395
17.0240,-19.2378,1086.367,2.11207
17.0667,-18.9907,1011.281,2.00075
17.1093,-18.8803,1032.969,1.99560
17.1520,-19.1849,990.950,1.97147
17.1947,-19.0093,1025.022,1.86188
17.2373,-18.8826,1063.423,1.86099
17.2800,-18.8338,1086.840,1.93261
17.3227,-18.9324,1166.096,2.12570
17.3653,-19.5889,1301.208,2.06982
17.4080,-19.6947,1418.198,1.99909
